                path                |           slug            
------------------------------------+---------------------------
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/goats-eat-googles         | goats-eat-googles
 /article/goats-eat-googles         | goats-eat-googles
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bad-things-gone           | bad-things-gone
 /article/bears-love-berries        | bears-love-berries
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bad-things-gone           | bad-things-gone
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/bears-love-berries        | bears-love-berries
 /article/bad-things-gone           | bad-things-gone
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/goats-eat-googles         | goats-eat-googles
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/goats-eat-googles         | goats-eat-googles
 /article/bad-things-gone           | bad-things-gone
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bad-things-gone           | bad-things-gone
 /article/bears-love-berries        | bears-love-berries
 /article/bad-things-gone           | bad-things-gone
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/balloon-goons-doomed      | balloon-goons-doomed
 /article/so-many-bears             | so-many-bears
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/bad-things-gone           | bad-things-gone
 /article/goats-eat-googles         | goats-eat-googles
 /article/so-many-bears             | so-many-bears
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/media-obsessed-with-bears | media-obsessed-with-bears
 /article/trouble-for-troubled      | trouble-for-troubled
 /article/bad-things-gone           | bad-things-gone
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/candidate-is-jerk         | candidate-is-jerk
 /article/bears-love-berries        | bears-love-berries
 /article/so-many-bears             | so-many-bears
 /article/bears-love-berries        | bears-love-berries
 /article/bears-love-berries        | bears-love-berries
 /article/so-many-bears             | so-many-bears
(100 rows)

SQL: select log.path, articles.slug from log join articles on log.path ~ articles.slug limit 100;
