                path                 |  num   
-------------------------------------+--------
 /                                   | 479121
 /article/candidate-is-jerk          | 338647
 /article/bears-love-berries         | 253801
 /article/bad-things-gone            | 170098
 /article/goats-eat-googles          |  84906
 /article/trouble-for-troubled       |  84810
 /article/balloon-goons-doomed       |  84557
 /article/so-many-bears              |  84504
 /article/media-obsessed-with-bears  |  84383
 /spam-spam-spam-humbug              |    301
 /%20%20%20                          |    290
 /+++ATH0                            |    288
 /article/candidate-is-jerkx         |    161
 /article/candidate-is-jerkq         |    155
 /article/candidate-is-jerkh         |    152
 /article/candidate-is-jerkr         |    148
 /article/candidate-is-jerkg         |    147
 /article/candidate-is-jerke         |    146
 /article/candidate-is-jerkb         |    144
 /article/candidate-is-jerkl         |    144
 /article/candidate-is-jerkv         |    143
 /article/candidate-is-jerki         |    142
 /article/candidate-is-jerkn         |    138
 /article/candidate-is-jerkt         |    138
 /article/candidate-is-jerky         |    137
 /article/candidate-is-jerkf         |    137
 /article/candidate-is-jerkp         |    135
 /article/candidate-is-jerka         |    135
 /article/candidate-is-jerkw         |    134
 /article/candidate-is-jerkc         |    134
 /article/candidate-is-jerkz         |    133
 /article/candidate-is-jerkm         |    132
 /article/candidate-is-jerks         |    131
 /article/candidate-is-jerkd         |    124
 /article/candidate-is-jerku         |    124
 /article/bears-love-berriesp        |    123
 /article/candidate-is-jerkj         |    121
 /article/candidate-is-jerkk         |    120
 /article/bears-love-berriesb        |    118
 /article/bears-love-berriesv        |    117
 /article/bears-love-berriesw        |    115
 /article/bears-love-berriesy        |    111
 /article/bears-love-berriess        |    110
 /article/bears-love-berriesm        |    109
 /article/bears-love-berriesu        |    106
 /article/bears-love-berriesj        |    106
 /article/bears-love-berriest        |    104
 /article/bears-love-berriesg        |    104
 /article/bears-love-berriesq        |    102
 /article/bears-love-berriesr        |    102
 /article/bears-love-berriesi        |    101
 /article/bears-love-berriesk        |    101
 /article/bears-love-berriesn        |    101
 /article/bears-love-berriesx        |    100
 /article/bears-love-berriesc        |    100
 /article/bears-love-berriesa        |     97
 /article/bears-love-berriesd        |     95
 /article/bears-love-berriese        |     92
 /article/bears-love-berriesl        |     92
 /article/bad-things-gonek           |     88
 /article/bears-love-berriesf        |     88
 /article/bears-love-berriesz        |     88
 /article/bad-things-gonev           |     84
 /article/bears-love-berriesh        |     82
